month,GPR,GPRT,GPRA,GPRH,GPRHT,GPRHA
"January 01, 2001",46.9,53.7,38.34,38.04,52.46,27.86
"February 01, 2001",55.09,63.69,45.43,33.47,45.43,23.82
"March 01, 2001",61.71,66.72,56.87,41.96,49.59,36.61
"April 01, 2001",50.57,52.77,47.17,38.07,48.39,30.1
"May 01, 2001",60.38,61.34,56.86,46.7,57.58,39.35
"June 01, 2001",72.06,79.31,64.21,52.24,66.26,43.75
"July 01, 2001",61.07,65.49,52.62,50.58,60.45,43.05
"August 01, 2001",64.11,55.23,74.89,48.4,47.34,52.95
"September 01, 2001",498.65,260.17,841.18,289.94,148.79,457.51
"October 01, 2001",512.53,261.35,854.07,303.59,169.75,469.63
"November 01, 2001",306.79,149.8,509.75,215.27,128.5,317.59
"December 01, 2001",236.1,126.2,381.97,179.28,104.61,266.27
"January 01, 2002",172.48,106.92,262.29,131.62,98.31,179.29
"February 01, 2002",146.19,95.78,212.91,106.1,81.29,137.24
"March 01, 2002",151.98,99.12,219.97,112.15,84.01,149.98
"April 01, 2002",157.5,100.74,225.64,114.57,81.38,149.72
"May 01, 2002",163.32,142.25,209.41,118.06,116.05,137.36
"June 01, 2002",149.33,127.79,189.12,107.95,105.68,126.77
"July 01, 2002",122.78,94.35,168.42,90.22,77.22,110.07
"August 01, 2002",127.06,101.7,157.46,88.44,70.15,106.08
"September 01, 2002",174.9,174.53,188.72,111.66,120.15,119.49
"October 01, 2002",172.03,167.03,197.4,119.17,130.82,129.6
"November 01, 2002",159.13,155.01,179.06,117.24,119.98,126.37
"December 01, 2002",175.81,183,175.2,116.27,128.88,115.68
"January 01, 2003",206.43,245.82,176.96,136.64,175.48,118.89
"February 01, 2003",239.61,296.76,213.08,140.88,189.81,133.26
"March 01, 2003",358.71,362.41,429.14,244.57,261.78,293.83
"April 01, 2003",255.78,212.61,331.6,209.31,192.01,259.41
"May 01, 2003",162.12,153.4,186.85,131.4,135.02,142.08
"June 01, 2003",145.77,127.83,176.92,126.88,120.66,151.67
"July 01, 2003",134.9,108.39,167.45,119.36,107.32,135.67
"August 01, 2003",138.23,109.65,180,112.95,97.64,135.65
"September 01, 2003",118.2,99.72,143.56,102.62,92.09,119.75
"October 01, 2003",108.32,93.03,129.94,94.6,87.04,109.88
"November 01, 2003",118.09,93.33,153.25,95.35,73.88,124.08
"December 01, 2003",129.47,107.44,164.98,109.33,92.47,133.37
"January 01, 2004",113.47,106.72,126.09,97.68,100.04,107.74
"February 01, 2004",115.08,104.11,129.24,98.96,95.15,110.94
"March 01, 2004",138.53,109.12,183.7,105.25,79.99,138.19
"April 01, 2004",149.63,121.15,205.33,121.13,113.28,155.89
"May 01, 2004",121.09,91.97,159.95,105.24,80.07,133.37
"June 01, 2004",137.23,106.79,178.04,125.61,102.4,150.84
"July 01, 2004",131.02,121.27,159.81,121.09,116.58,144.47
"August 01, 2004",140.37,127.45,176.45,120.91,120.7,147.65
"September 01, 2004",153.87,130.21,189.36,133.37,118.15,159.01
"October 01, 2004",119.86,100.51,148.24,105.1,97.13,124.76
"November 01, 2004",122.71,98.93,151.68,107.29,90.15,127.24
"December 01, 2004",109.9,81.6,145.23,86.83,68.16,110.18
"January 01, 2005",100.89,78.2,128.53,80.84,67.51,98.17
"February 01, 2005",108.98,104.77,108.8,90.26,92.56,87.23
"March 01, 2005",90.41,87.23,87.88,72.86,73.84,70.51
"April 01, 2005",87.03,72.53,102.85,76.22,65.16,89.31
"May 01, 2005",98.21,89.93,104.91,82.19,80.65,86.8
"June 01, 2005",81.12,69.88,93.42,71.13,63.99,80.96
"July 01, 2005",165.9,118.18,237.57,122.32,97.03,160.1
"August 01, 2005",116.23,92.68,143.29,92.73,85.92,98.82
"September 01, 2005",103.81,78.46,130.27,82.55,63.57,99.43
"October 01, 2005",87.06,73.19,105.56,76.85,72.24,87
"November 01, 2005",83.48,70.6,96.03,67.84,63.12,74.35
"December 01, 2005",95.35,69.64,130.68,86.67,70.16,111.4
"January 01, 2006",94.51,89.32,100.19,80.46,80.45,85.37
"February 01, 2006",95.86,89.41,102.8,77.15,79.75,77.13
"March 01, 2006",92.8,88.04,97.04,81.51,86.6,79.81
"April 01, 2006",89.02,85.91,92.83,71.69,73.78,72.18
"May 01, 2006",85.21,84.03,82.28,77.8,85.85,71.64
"June 01, 2006",102.57,90.38,115.68,83.39,80.43,90.83
"July 01, 2006",137.13,134.4,142.09,106.8,103.54,116.19
"August 01, 2006",147.08,141.56,159.19,106.37,104.83,114.56
"September 01, 2006",111.72,110.28,114.77,99.57,107.9,96.72
"October 01, 2006",113.14,125.29,99.27,91.67,113.25,75.04
"November 01, 2006",88.78,87.28,86.71,75.49,80.44,71.14
"December 01, 2006",90.61,95.78,78.77,80.43,91.49,69.06
"January 01, 2007",97.92,95.61,97.65,94.14,103.05,86.44
"February 01, 2007",96.17,98.16,90.96,88.55,103.37,78.76
"March 01, 2007",87.34,86.15,83.92,74.79,81.02,70.24
"April 01, 2007",76.61,69.23,83.42,73.93,73.95,74.5
"May 01, 2007",92.6,82.3,103.89,88.08,92.73,88.44
"June 01, 2007",97.97,87.08,109.31,92.16,85.79,100.02
"July 01, 2007",112.35,103.26,127.13,96.17,102.59,102.07
"August 01, 2007",83.17,73.13,100.15,70.6,69.3,78.1
"September 01, 2007",94.49,94.94,92.25,88.09,98.93,83.44
"October 01, 2007",101.47,103.61,97.5,94.44,107.95,86.61
"November 01, 2007",89.8,95.74,81.57,76.52,83.67,72.1
"December 01, 2007",94.97,98.53,84.13,80.96,93.91,67.72
"January 01, 2008",81.5,76.4,83.75,80.72,84.24,76.41
"February 01, 2008",80.75,72.53,86.75,79.34,79.12,83.79
"March 01, 2008",77.64,72.03,83.48,67.83,64.61,72.4
"April 01, 2008",71.9,69.46,69.99,68.3,74.92,63.85
"May 01, 2008",72.57,70.68,74.79,65.24,68.04,62.86
"June 01, 2008",87.55,88.89,80.34,70.53,73.71,64.37
"July 01, 2008",89.74,84.32,88.16,79.43,81.17,78.77
"August 01, 2008",88.55,75.77,105.07,74.77,68.14,86.45
"September 01, 2008",88.54,82.01,94.46,77.95,83.25,74.56
"October 01, 2008",64.16,53.12,75.28,52.13,47.14,58.86
"November 01, 2008",79.08,68.3,95.14,63.41,59.15,73.31
"December 01, 2008",92.37,83.84,109.21,74.67,77.11,80.42
"January 01, 2009",85.37,86.31,89.71,61.33,61.63,66.96
"February 01, 2009",67.45,64.77,64.59,63.05,66.63,60.07
"March 01, 2009",72.64,69.18,74.83,56.75,57.69,55.87
"April 01, 2009",85.69,84.49,83.98,69.48,72.77,70.93
"May 01, 2009",89.68,86.64,92.64,77.43,80.33,77.77
"June 01, 2009",81.11,80.8,74.59,71.36,88.43,52.98
"July 01, 2009",83.44,82.11,80.12,69.43,80.07,59.85
"August 01, 2009",73.37,64.71,78.04,59.95,58.12,60.47
"September 01, 2009",92.84,97.49,77.78,74.6,83.81,62.67
"October 01, 2009",90.58,88.23,90.43,81.04,90.11,74.1
"November 01, 2009",82.1,74.32,85.01,66.16,68.18,64.15
"December 01, 2009",92.95,89.34,95.87,84.4,89.74,81.26
"January 01, 2010",91.58,84.97,100.41,78.12,82.47,77.81
"February 01, 2010",80.73,78.85,80.71,71.46,82.13,63.28
"March 01, 2010",74.12,73.5,70.04,58.71,70.42,46.3
"April 01, 2010",88.76,92.06,81.27,72.48,92.5,49.6
"May 01, 2010",88.96,87.49,85.86,85.67,95.84,78.34
"June 01, 2010",96.45,110.69,70.99,95.87,126.58,63.4
"July 01, 2010",79.38,75.19,84.05,66.18,77.62,60.88
"August 01, 2010",80.99,71.95,85.98,74.39,79.5,68.23
"September 01, 2010",71.17,68.95,69.29,63.37,70.91,56.64
"October 01, 2010",65.99,62.1,76.17,57.81,68.85,57.95
"November 01, 2010",94.71,98.69,83.27,82.32,101.51,68.53
"December 01, 2010",97.2,100.4,91.76,79.68,100.46,66.5
"January 01, 2011",79.42,76.59,78.81,67.25,77.49,60.11
"February 01, 2011",90.01,90.19,85.49,70.9,82.07,60.24
"March 01, 2011",136.89,126.97,157.48,101.1,103.05,113.56
"April 01, 2011",91.02,72.92,111.94,76.12,73.79,79.86
"May 01, 2011",105.34,95.51,123.83,90.7,90.99,105.33
"June 01, 2011",84.39,71.39,98.27,77.34,77.81,80.02
"July 01, 2011",78.92,59.02,102.11,68.41,67.59,74.18
"August 01, 2011",86.95,63.5,112.5,71.49,64.13,80.82
"September 01, 2011",83.35,70.61,95.27,72.5,77.54,68.25
"October 01, 2011",76.34,64.19,92.34,66.21,62.93,75.06
"November 01, 2011",83.16,95.57,70.11,70.88,91.21,59.61
"December 01, 2011",85.34,88.89,77.48,75.75,92.12,58.51
"January 01, 2012",79.63,93.61,62.07,68.27,88.87,55.31
"February 01, 2012",92.45,104.21,78.6,76.55,95.23,61.46
"March 01, 2012",88.76,87.86,85.86,75,91.72,63.66
"April 01, 2012",96.02,101.92,86.38,78.81,97.25,64.31
"May 01, 2012",78.17,80.63,69.74,70.23,86.78,56.95
"June 01, 2012",77.82,70.23,82.17,61.87,70.26,53.52
"July 01, 2012",82.81,79.34,91,67.46,80.7,64.49
"August 01, 2012",74.88,70.99,78.11,68.64,76.49,65.05
"September 01, 2012",69.28,68.4,65.87,61.44,71.36,52.71
"October 01, 2012",81.66,74.21,88.03,69.42,67.01,71.36
"November 01, 2012",81.39,75.66,89.05,67.28,70.2,70.31
"December 01, 2012",74.83,66.24,82.98,65.62,64.24,69.14
"January 01, 2013",90.66,84.14,108.95,70.87,75.18,78.58
"February 01, 2013",81.59,77.61,85.66,72.41,78.07,71.63
"March 01, 2013",75.9,81.89,69.4,55.7,70.44,46.31
"April 01, 2013",95.11,99.52,87.47,76.69,93.33,65.08
"May 01, 2013",83.72,75.33,98.23,73.35,77.84,79.47
"June 01, 2013",82.97,78.82,86.63,71.18,79.75,71.48
"July 01, 2013",73.98,71.56,72.68,58.96,63.3,56.3
"August 01, 2013",90.96,80.74,106.98,71.75,73.06,76.94
"September 01, 2013",100.46,100.38,100.16,85.78,96.77,78.24
"October 01, 2013",72.95,65.5,78.73,64.7,76.11,57.82
"November 01, 2013",77.78,92.5,52.44,68.73,99.33,39.8
"December 01, 2013",70.37,70.09,66.79,70.19,82.17,57.13
"January 01, 2014",77.92,70.48,83.15,71.98,77.75,69
"February 01, 2014",69,73.28,59.09,63.78,75.13,54.9
"March 01, 2014",119.84,151.67,74.06,92.22,130.48,60.41
"April 01, 2014",93.22,113.14,60.91,75.93,105.72,50.58
"May 01, 2014",83.43,91.7,76.15,73.12,93.51,62.8
"June 01, 2014",98.77,95.32,107.18,82.33,92.05,79.14
"July 01, 2014",138.75,162.72,118.55,104.57,144.64,85.31
"August 01, 2014",136.45,158.59,112.11,96.06,123.09,81.26
"September 01, 2014",131.56,143.4,120.78,104.13,129.89,90.85
"October 01, 2014",83.66,86.33,77.19,68.81,80.54,59
"November 01, 2014",84.38,88.47,76.34,67.82,89.17,47.08
"December 01, 2014",86.53,81.27,96.24,69.49,78.25,63.68
"January 01, 2015",111.99,83.5,153.34,94.44,91.56,110.73
"February 01, 2015",111.92,118.23,107.79,98.14,125.61,82.12
"March 01, 2015",104.24,117.49,83.63,95.05,135.94,61.76
"April 01, 2015",102.19,110.19,95.09,90.1,117.82,77.03
"May 01, 2015",76.26,77.67,72.86,67.89,74.84,61.92
"June 01, 2015",85.91,81.07,88.79,78.03,92.73,69.09
"July 01, 2015",106.81,120.84,86.17,94.76,124.38,66.13
"August 01, 2015",82.48,85.34,74.03,83.12,107.2,63.76
"September 01, 2015",98.77,115.89,79.35,95.89,132.51,70.59
"October 01, 2015",91.93,79.73,108.51,90.87,87.12,106.37
"November 01, 2015",150.72,113.04,213.99,119.51,102.44,162.05
"December 01, 2015",148.24,115.22,204.63,131.21,119.51,167.5
"January 01, 2016",118.21,124.24,109.53,97.5,116.34,90.73
"February 01, 2016",103.75,91.32,117.58,84.32,83.29,89.15
"March 01, 2016",109.72,98.03,127.77,93.45,108.58,87.08
"April 01, 2016",85.22,80.82,93.12,85.37,93.73,85.3
"May 01, 2016",88.33,84.46,93.64,77.35,84.61,73.39
"June 01, 2016",90.17,80.51,100.86,74.22,70.72,80.73
"July 01, 2016",114.61,97.1,145.15,90.43,82.43,109.31
"August 01, 2016",98.74,82.44,121.45,79.65,77.62,85.16
"September 01, 2016",104.55,95.49,121.15,94.03,110.16,92.7
"October 01, 2016",85.75,79.65,100.31,77.69,72.05,92.14
"November 01, 2016",82.92,81.23,83.98,71.86,86.99,61.45
"December 01, 2016",102.18,93.94,113.98,86.42,88.75,91.26
"January 01, 2017",105.2,108.28,103.17,86.76,105.41,78.78
"February 01, 2017",114.21,125.66,97.15,98.75,129.25,79.06
"March 01, 2017",96.64,95.84,95.67,80.13,93.51,76.76
"April 01, 2017",119.46,127.45,108.07,93.11,114.96,73.02
"May 01, 2017",102.58,102.35,99.7,78.91,92.24,67.17
"June 01, 2017",126.79,113.17,146.67,105.33,120.52,101.97
"July 01, 2017",102.81,125.6,71.96,86.89,125.24,47.88
"August 01, 2017",138.53,160.02,108.44,107.87,144.28,81.95
"September 01, 2017",115.53,142.14,84.1,95.02,141.51,62.89
"October 01, 2017",91.46,109.23,69.16,76.1,111.74,55.2
"November 01, 2017",92.6,103.94,80.12,61.76,76,59.16
"December 01, 2017",82.72,95.91,62.66,64.84,89.81,48
"January 01, 2018",92.43,107.64,75.67,69.34,85.86,59.45
"February 01, 2018",64.49,74.68,52,58.21,77.45,44.6
"March 01, 2018",111.96,146.93,64.56,76.14,105.13,54.73
"April 01, 2018",123.26,146.4,94.31,76.4,99.28,64.76
"May 01, 2018",125.67,172.22,63.22,83.75,132.52,44.98
"June 01, 2018",103.97,137.02,56.64,77.22,113.83,49.06
"July 01, 2018",110.03,129.1,84.41,68.62,88.44,54.57
"August 01, 2018",112.74,145.11,68.58,74.01,98.91,55.04
"September 01, 2018",75.05,88.62,51.16,51.75,64.29,42.44
"October 01, 2018",92.02,115.21,61.15,60.49,85.87,40.09
"November 01, 2018",80.41,105.17,47.4,52.75,76.52,33.67
"December 01, 2018",90.61,106.06,66.24,63.82,87.2,40.38
"January 01, 2019",87.42,112.98,55.73,66.39,96.95,42.29
"February 01, 2019",96.8,127.86,57.51,75.31,110.84,43.58
"March 01, 2019",82.33,90.79,66.64,63.71,79.25,50.61
"April 01, 2019",79.25,95.46,57.52,60.06,78.46,43.95
"May 01, 2019",106.47,134.97,64.66,76.12,113.9,44.16
"June 01, 2019",106.59,142.65,53.42,73.26,119.32,34.26
"July 01, 2019",93.52,126.93,47.42,70.44,118.77,29.58
"August 01, 2019",103.4,124.73,70.1,94.96,127.15,65.9
"September 01, 2019",90.37,110.87,67.81,70.83,94.96,56.16
"October 01, 2019",97.84,121.31,69.97,72.87,106.54,55.96
"November 01, 2019",73.08,84.59,53.03,64.53,86.43,43.05
"December 01, 2019",74.28,80.11,63.33,50.65,64.9,41.53
"January 01, 2020",138.42,190.84,81.65,104.52,163.83,70.5
"February 01, 2020",75.96,87.16,56.69,62.86,91.85,36.46
"March 01, 2020",81.54,97.09,62.9,80.56,111.69,49.75
"April 01, 2020",69.34,81.76,47.59,67.54,102.49,35.82
"May 01, 2020",68.51,83.36,42.3,75.35,112.69,38.5
"June 01, 2020",71.23,85.87,49.76,64.86,101.93,33.94
"July 01, 2020",66.47,88.74,36.25,61.82,95.26,30.59
"August 01, 2020",65.47,90.01,28.45,55.43,89.05,21.13
"September 01, 2020",80.38,101.26,49.52,59.53,87.38,30.16
"October 01, 2020",76.08,97.65,42.68,54.34,81.86,27.82
"November 01, 2020",70.07,79.04,62.31,50.45,69.75,38.99
"December 01, 2020",64.07,86.82,31.74,56.6,88.96,25.17
"January 01, 2021",77.42,98.48,48.29,61.64,85.59,41.74
"February 01, 2021",73.96,94.48,46.33,52.29,81.29,29.67
"March 01, 2021",78.62,100.85,49.42,53.89,86.94,27.81
"April 01, 2021",88.17,109.59,67.87,59.98,86.6,40.86
"May 01, 2021",93.01,120.78,52.63,70.34,99.7,45.37
"June 01, 2021",74.13,92.55,46.35,59.44,83.06,37.32
"July 01, 2021",58.42,64.04,50.72,46.88,55.36,42.45
"August 01, 2021",89.49,103.2,76.48,59.06,79.16,51.76
"September 01, 2021",80.7,92.05,67.94,64.57,89.31,49.01
"October 01, 2021",79.03,93.81,61.15,53.48,72.59,38.06
"November 01, 2021",86.57,121.5,39.74,52.68,84.68,22.43
"December 01, 2021",105.35,155.31,47.65,69.36,116.38,39.55
"January 01, 2022",138.67,199.49,63.25,85.1,137.36,52.31
"February 01, 2022",216.16,320.61,105.22,120.52,201.07,67.16
"March 01, 2022",318.95,403.71,250.96,167.34,264.45,123.55
"April 01, 2022",191.14,221.91,184.42,127.24,172.53,115.55
"May 01, 2022",142.26,166.42,140.14,99.6,137.27,92.26
"June 01, 2022",130.71,160.73,114.81,100.1,151.79,84.47
"July 01, 2022",117.18,141.24,97.84,97.27,131.34,80.34
"August 01, 2022",132.86,159.38,111.16,119.83,168.91,97.54
"September 01, 2022",131.99,170.31,108.63,112.99,179.78,79.79
"October 01, 2022",143.16,185.28,112.68,129.14,193.31,102.52
"November 01, 2022",116.72,143.05,98.68,100.44,149.17,84.4
"December 01, 2022",111.2,119.14,109.77,95.67,131.1,83.46
"January 01, 2023",103.42,113.01,93.36,79.31,100.72,71.78
"February 01, 2023",122.09,149.99,102.57,102.76,151.36,84.37
"March 01, 2023",105.56,127.02,86.35,95.83,134.89,77.04
"April 01, 2023",106.8,118.51,92.8,89.45,124.73,72.42
"May 01, 2023",107.84,122.45,91.94,85.1,109.04,69.94
"June 01, 2023",111.38,131.14,95.31,102.86,143.6,90.58
"July 01, 2023",106.81,122.76,91.76,93.43,127.12,78.98
"August 01, 2023",101.86,119.08,83.29,75.74,106.46,55.17
"September 01, 2023",98.82,126.63,68.05,69.42,96.71,56.72
"October 01, 2023",196.74,204.43,219.07,139.09,170.59,142.52
"November 01, 2023",153.77,142.45,184.96,137.09,146.3,162.59
"December 01, 2023",141.4,136.52,171.8,123.6,137.24,144.71
"January 01, 2024",159.21,140.22,206.09,133.53,144.19,151.6
"February 01, 2024",137.56,128.49,166.65,120.16,140.01,134.34
