"","GC=F.Close"
"1",278.299987792969
"2",273.600006103516
"3",264.899993896484
"4",270.100006103516
"5",272
"6",265.600006103516
"7",266.799987792969
"8",257.899993896484
"9",264
"10",265.299987792969
"11",270.600006103516
"12",266.200012207031
"13",274.399993896484
"14",292.399993896484
"15",279.5
"16",273.899993896484
"17",278.700012207031
"18",282.100006103516
"19",296.700012207031
"20",302.600006103516
"21",308.899993896484
"22",326.5
"23",313.5
"24",303.200012207031
"25",312.399993896484
"26",323.899993896484
"27",318
"28",316.799987792969
"29",347.600006103516
"30",368.299987792969
"31",350.200012207031
"32",335.899993896484
"33",339.100006103516
"34",364.5
"35",346
"36",354
"37",375.700012207031
"38",385.399993896484
"39",384.5
"40",396.799987792969
"41",415.700012207031
"42",402.200012207031
"43",396.399993896484
"44",427.299987792969
"45",387
"46",394
"47",392.600006103516
"48",391
"49",410.399993896484
"50",418.700012207031
"51",428.5
"52",451.299987792969
"53",437.5
"54",421.799987792969
"55",436.5
"56",428.700012207031
"57",435
"58",416.299987792969
"59",435.899993896484
"60",429.899993896484
"61",433.799987792969
"62",469
"63",465.100006103516
"64",494.600006103516
"65",517.099975585938
"66",570.799987792969
"67",561.599975585938
"68",581.799987792969
"69",651.799987792969
"70",642.5
"71",613.5
"72",634.200012207031
"73",625.900024414062
"74",598.599975585938
"75",604.099975585938
"76",646.900024414062
"77",635.200012207031
"78",652
"79",669.400024414062
"80",663
"81",680.5
"82",661
"83",648.099975585938
"84",666.900024414062
"85",673
"86",742.799987792969
"87",792
"88",782.200012207031
"89",834.900024414062
"90",922.700012207031
"91",972.099975585938
"92",916.200012207031
"93",862.799987792969
"94",887.299987792969
"95",926.200012207031
"96",913.900024414062
"97",829.299987792969
"98",874.200012207031
"99",716.799987792969
"100",816.200012207031
"101",883.599975585938
"102",927.299987792969
"103",941.5
"104",922.599975585938
"105",890.700012207031
"106",978.799987792969
"107",927.099975585938
"108",953.700012207031
"109",951.700012207031
"110",1008
"111",1039.69995117188
"112",1181.09997558594
"113",1095.19995117188
"114",1083
"115",1118.30004882812
"116",1113.30004882812
"117",1180.09997558594
"118",1212.19995117188
"119",1245.5
"120",1181.69995117188
"121",1248.30004882812
"122",1307.80004882812
"123",1357.09997558594
"124",1385
"125",1421.09997558594
"126",1333.80004882812
"127",1409.30004882812
"128",1438.90002441406
"129",1556
"130",1535.90002441406
"131",1502.30004882812
"132",1628.30004882812
"133",1828.5
"134",1620.40002441406
"135",1724.19995117188
"136",1745.5
"137",1565.80004882812
"138",1737.80004882812
"139",1709.90002441406
"140",1669.30004882812
"141",1663.40002441406
"142",1562.59997558594
"143",1603.5
"144",1610.5
"145",1684.59997558594
"146",1771.09997558594
"147",1717.5
"148",1710.90002441406
"149",1674.80004882812
"150",1660.59997558594
"151",1577.69995117188
"152",1594.80004882812
"153",1472.19995117188
"154",1392.59997558594
"155",1223.80004882812
"156",1312.40002441406
"157",1396.09997558594
"158",1326.5
"159",1323.59997558594
"160",1250.59997558594
"161",1201.90002441406
"162",1240.09997558594
"163",1321.40002441406
"164",1283.40002441406
"165",1295.59997558594
"166",1245.59997558594
"167",1321.80004882812
"168",1281.30004882812
"169",1285.80004882812
"170",1210.5
"171",1171.09997558594
"172",1175.19995117188
"173",1183.90002441406
"174",1278.5
"175",1212.59997558594
"176",1183.09997558594
"177",1182.40002441406
"178",1189.40002441406
"179",1171.5
"180",1094.90002441406
"181",1131.59997558594
"182",1115.5
"183",1141.5
"184",1065.80004882812
"185",1060.30004882812
"186",1116.40002441406
"187",1233.90002441406
"188",1234.19995117188
"189",1289.19995117188
"190",1214.80004882812
"191",1318.40002441406
"192",1349
"193",1306.90002441406
"194",1313.30004882812
"195",1271.5
"196",1170.80004882812
"197",1150
"198",1208.59997558594
"199",1252.59997558594
"200",1247.30004882812
"201",1266.09997558594
"202",1272
"203",1240.69995117188
"204",1266.59997558594
"205",1316.19995117188
"206",1281.5
"207",1267
"208",1273.19995117188
"209",1306.30004882812
"210",1339
"211",1315.5
"212",1322.80004882812
"213",1316.19995117188
"214",1300.09997558594
"215",1251.30004882812
"216",1223.69995117188
"217",1200.30004882812
"218",1191.5
"219",1212.30004882812
"220",1220.19995117188
"221",1278.30004882812
"222",1319.69995117188
"223",1312.80004882812
"224",1293
"225",1282.80004882812
"226",1305.80004882812
"227",1409.69995117188
"228",1426.09997558594
"229",1519.09997558594
"230",1465.69995117188
"231",1511.40002441406
"232",1465.59997558594
"233",1519.5
"234",1582.90002441406
"235",1564.09997558594
"236",1583.40002441406
"237",1684.19995117188
"238",1736.90002441406
"239",1793
"240",1962.80004882812
"241",1967.59997558594
"242",1887.5
"243",1877.40002441406
"244",1775.69995117188
"245",1893.09997558594
"246",1847.30004882812
"247",1728.09997558594
"248",1713.80004882812
"249",1767.30004882812
"250",1902.5
"251",1770.80004882812
"252",1812.59997558594
"253",1815
"254",1755.30004882812
"255",1783
"256",1773.59997558594
"257",1827.5
"258",1795
"259",1899.40002441406
"260",1949.19995117188
"261",1909.30004882812
"262",1842.69995117188
"263",1804.09997558594
"264",1762.90002441406
"265",1712.80004882812
"266",1662.40002441406
"267",1635.90002441406
"268",1746
"269",1819.69995117188
"270",1929.5
"271",1828.90002441406
"272",1969
"273",1990.09997558594
"274",1963.90002441406
"275",1921.09997558594
"276",1970.5
"277",1938.19995117188
"278",1848.09997558594
"279",1985.19995117188
"280",2038.09997558594
"281",2062.39990234375
"282",2048.39990234375
"283",2045.69995117188
"284",2217.39990234375
