Date,GPR,GPRT,GPRH,GPRHT,GPRHC_ISR,GPRHC_RUS,GPRHC_UKR,GPRHC_USA,Gold,Cocoa
2002-01-01,172.48,106.92,131.62,98.31,0.53,0.49,0.03,4.63,282.1000061,1344
2002-02-01,146.19,95.78,106.10,81.29,0.51,0.43,0.00,3.70,296.7000122,1466
2002-03-01,151.98,99.12,112.15,84.01,0.93,0.69,0.02,3.97,302.6000061,1494
2002-04-01,157.50,100.74,114.57,81.38,1.58,0.52,0.01,4.02,308.8999939,1540
2002-05-01,163.32,142.25,118.06,116.05,0.82,0.77,0.01,4.13,326.5,1598
2002-06-01,149.33,127.79,107.95,105.68,0.82,0.60,0.01,3.77,313.5,1630
2002-07-01,122.78,94.35,90.22,77.22,0.50,0.41,0.02,3.12,303.2000122,1787
2002-08-01,127.06,101.70,88.44,70.15,0.52,0.52,0.03,3.04,312.3999939,2012
2002-09-01,174.90,174.53,111.66,120.15,0.56,0.81,0.05,3.87,323.8999939,2191
2002-10-01,172.03,167.03,119.17,130.82,0.52,1.03,0.03,4.19,318,1927
2002-11-01,159.13,155.01,117.24,119.98,0.51,0.96,0.10,3.99,316.7999878,1750
2002-12-01,175.81,183.00,116.27,128.88,0.59,0.73,0.02,4.09,347.6000061,2021
2003-01-01,206.43,245.82,136.64,175.48,0.55,1.09,0.03,4.80,368.2999878,2409
2003-02-01,239.61,296.76,140.88,189.81,0.63,1.02,0.02,4.92,350.2000122,2080
2003-03-01,358.71,362.41,244.57,261.78,1.02,1.52,0.05,8.51,335.8999939,1960
2003-04-01,255.78,212.61,209.31,192.01,0.79,1.16,0.05,7.36,339.1000061,2076
2003-05-01,162.12,153.40,131.40,135.02,0.81,0.92,0.03,4.55,364.5,1493
2003-06-01,145.77,127.83,126.88,120.66,0.79,0.62,0.02,4.32,346,1681
2003-07-01,134.90,108.39,119.36,107.32,0.48,0.36,0.02,4.04,354,1465
2003-08-01,138.23,109.65,112.95,97.64,0.60,0.71,0.04,3.83,375.7000122,1820
2003-09-01,118.20,99.72,102.62,92.09,0.45,0.52,0.01,3.53,385.3999939,1626
